User,Tweet
Bernie Sanders,"Amazon workers have tested positive for coronavirus—which may live for up to 24 hours on cardboard—at 50 warehouses.

In my view, failures by Amazon to keep workers safe are not only putting their employees at risk. They place the entire country at risk. https://t.co/rBsFOC9Hca"
Marco Teruggi,"🇪🇨 Rafael Correa y Jorge Glas condenados por un Tribunal a 8 años de prisión. Quedan inhabilitados a participar en política por 25 años, que es el objetivo central. 

El #LawfareNoPara en medio de la tragedia que vive Ecuador ante el #COVID19 y la gestión de Lenin Moreno.

#7Abr"
Melania Trump,"Today, we recognize #WorldHealthDay2020 &amp; join the global community to pay tribute to the extraordinary people who are dedicated to combating #COVID19. Thank you to the doctors, nurses, scientists, educators, &amp; health officials for your leadership in this fight."
Amy Siskind 🏳️‍🌈,"Trump just fired Glenn Fine, the leader of a new panel of watchdogs charged with overseeing how his regime spends trillions of taxpayer dollars in coronavirus pandemic relief. 
Now he will be feeding at the trough like an organized crime family. https://t.co/uQyKtvZ9m0"
Allan dos Santos - opovonopoder.com.br,"Instituo Nacional de Saúde americano disse, em documento de 2005, que ""a cloroquina é um potente inibidor da infecção e contaminação por coronavírus da SARS"". Isso torna OMS e China os maiores GENOCIDAS ATUAIS. Omitiram a CURA e espalharam a DOENÇA: https://t.co/1GPrUIikN9 https://t.co/PFQATHqZhV"
Lincoln's Bible,"Israel health minister, who claims coronavirus is ‘divine punishment’ for homosexuality, tests positive for COVID-19 https://t.co/QOBZBUc5CK"
John Solomon,Top US virus hunter says it is time ‘to stop playing victims’ and go on offense. A sensational story by my colleague Christine Dolan on how we get back to normal and how we stop future pandemics from closing down our economy. https://t.co/d9DXjpDHng
Diamond and Silk®,"Over 6,000 Doctors In Global Survey Agree Hydroxychloroquine Is the Most Highly Rated Treatment For Coronavirus. https://t.co/g3xQXHCyG8"
Conflits,"🇫🇷 ALERTE - 1 427 morts du #coronavirus en France signalés en 24h, la France dépasse la barre des 10 000 décès. 7 091 décès en milieu hospitalier depuis le 1er mars (+ 607 en 24h) et 3 237 victimes du #COVID19 en #EHPAD (+ 820), soit 10 328 victimes recensées. (#Salomon) #COVID"
L'infirmier 💎,MACRON HUÉ AU BALCON ✊ ! cet après midi à Pantin. Bravo Madame. #COVID19 #confinementjour22 https://t.co/6MfbkRb34M
Sean Davis,The IMHE models of Wuhan coronavirus hospitalizations in the U.S. are complete garbage. How bad are they? Compare the projections from their April 1 and April 7 models to the reality on the ground. Even their revisions don't come close to approximating reality. https://t.co/eayWmqUXwB
CNN,"JUST IN: President Trump has removed the acting Defense Department inspector general, who also chaired the committee overseeing $2 trillion in emergency coronavirus funding https://t.co/DyVo3QKZoz"
SEGA L'éveilleur®🚨,What an aberration! The same Rice you stole from importers with gangster style and defended your impunity by declaring it poisonous is the same one they’ve ordered you to distribute to the people?! Are we killing them before #Covid19 does?🚶🏿‍♀️#CovikSlayer https://t.co/r9r9d424w8
Breaking911,BREAKING: Trump removes acting Defense Department Inspector General Glenn Fine as chair of the committee overseeing $2 trillion in emergency coronavirus funding - CNN
Joyce Alene,"Why doesn't Trump want a strong IG for coronavirus? He owns a ""small personal financial interest"" in the company that makes the brand name version of the unproven anti-malarial drug he's been pushing during daily presidential briefings. Follow the money. https://t.co/RQyY8NBFkv https://t.co/NFKtVC7hPZ"
Donald Trump Jr.,A great man and an example to follow. He’s had one hell of a rough year or so (almost murdered twice by the tolerant left) and surviving Coronavirus... and he still steps up to help his constituency and all Americans in need!!! Thank you @RandPaul https://t.co/DilPTyVovY
Laura Ingraham,"More proof that the AMA, like the ABA, is just  another liberal front group masquerading as a professional society.  “AMA Chief on hydroxy: You could lose your life.” (Is she accusing thousands of docs around the nation and globe of malpractice then?)  https://t.co/XLlM7lZE98"
Trump War Room - Text TRUMP to 88022,"""Every patient I've prescribed [hydroxychloroquine] to has been very, very ill &amp; within 8 to 12 hours, they were basically symptom-free,"" said Dr. Anthony Cardillo, the CEO of Mend Urgent Care. 

""So clinically I am seeing a resolution"" for people suffering from the coronavirus. https://t.co/tUothWDXY6"
Norbert Elekes,"NEW: China ended its lockdown of Wuhan, where the coronavirus pandemic began."
ABC News,"If you’re searching for something cool to watch while staying at home amid the coronavirus, turn off the TV and look up at the sky. https://t.co/imHtiD7yZU"
eldiario.es,Acusan de manipulación a 'Espejo Público' por editar el vídeo de un científico para vincular el 8M con los contagios de coronavirus https://t.co/w9H5pMFJyb? En @Vertele
Imam of Peace,"Time to leave this planet.

China wins seat on UN Human Rights Council panel despite troubling record, response to coronavirus  https://t.co/C5HA5p2Tz2"
Alex Andreou,"I watch UK #COVID19 briefing right after Greek one, daily. Difference in tone is stark. Greek one led by scientists who give figures, research updates, then over to gov’t to say if new data merit any policy change. In UK 2/3rds of it is defensive look-how-well-we’re-doing drivel."
Kyle Griffin,"Breaking via Politico: Trump has upended the panel of federal watchdogs overseeing implementation of the $2 trillion coronavirus law, tapping a replacement for the Pentagon official who was supposed to lead the effort. https://t.co/zaKkT6ny6i"
Conexão Política,Dra. Nise Yamaguchi integra gabinete de crise e propõe a cloroquina como tratamento imediato nos casos de coronavírus https://t.co/31FtsTD4at
Guilherme Fiuza,"Quer dizer que a OMS agora vai procurar os infectados dentro de casa porque é lá que a transmissão do coronavírus está acontecendo?? As vidas não seriam salvas com a humanidade trancafiada? ""Fique em casa"" é uma ética de sobrevivência ou uma aposta de loteria?"
Aubazettes,If you had to sacrifice one Premier League team to end the Coronavirus right now who would it be and why Spurs?
