User,Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
Mossos,11.03.20 12:31,🔴 Detectem el primer cas de falsos metges a l'Hospitalet de Llobregat. Pretenien entrar en un pis per fer una suposada visita de control pel #coronavirus. La víctima NO els hi va deixar entrar https://t.co/phXqnIR7OZ,,https://www.twitter.com/user/status/1237717787247874048,2678,1900,1414.91
André,11.03.20 12:31,A meu ver o coronavírus é uma doença criada em laboratório pela Federação Portuguesa de Futebol com o objetivo de não se realizar o EURO 2020 e deste modo Portugal ser campeão da Europa durante mais uns tempos. https://t.co/50gabawnFq,,https://www.twitter.com/user/status/1237717746517004288,1505,4824,1.42
Braian,11.03.20 12:30,"Salis a la calle y tenés que cuidarte del dengue , del coronavirus , de que no te roben , de que no te maten https://t.co/EmVjczqid1",,https://www.twitter.com/user/status/1237717560176660482,13448,33737,4.13
Only In Boston,11.03.20 12:30,"Moderna Therapeutics, a Cambridge biotech company, has announced that they have released the first batch of a coronavirus vaccine and is currently being tested by the National Institute of Allergy and Infectious Diseases.

Massachusetts is here to save the world. https://t.co/PJUdJYpcUK",,https://www.twitter.com/user/status/1237717409517252608,1432,4689,1155.01
Macsi Garcia,11.03.20 12:29,Te descuidas y el paraguayito descubre un remedio yuyo contra el coronavirus,,https://www.twitter.com/user/status/1237717222979665920,1125,2302,24.37
YOTTØ R,11.03.20 12:28,"Your family and you will not be touch by Coronavirus .

                    In Jesus Christ's name.",,https://www.twitter.com/user/status/1237716965185249281,49197,132716,138.99
Juan Soto Ivars,11.03.20 12:27,"Que los hospitales privados están derivando a los enfermos de #COVID19 a los públicos muestra:
a) la inmoralidad de estos negocios, cosa que ya conocíamos; y
b) la cobardía del Gobierno. Ante esta crisis, tendrían que obligar a los hospitales privados a prestar servicio gratuito.",,https://www.twitter.com/user/status/1237716694409392129,1444,4013,123.07
King Kaz.🌹,11.03.20 12:26,Okay hear me out. If kids aren’t affected by coronavirus why don’t we make them go to work instead?,,https://www.twitter.com/user/status/1237716437713801217,4402,16101,119.51
Stephanie Wittels Wachs,11.03.20 12:26,"My dad is a 77 yr old lifelong Republican. He loves Trump. He watches Fox News religiously. 

He’s also a retired physician. After witnessing Trump’s handling of Coronavirus, he no longer supports him and says he’s lost his vote. He’s also done with Fox News. 

This is huge.",,https://www.twitter.com/user/status/1237716422610075653,56246,464523,50.46
Dr. Dena Grayson,11.03.20 12:23,"While we cannot stop the spread of #coronavirus, we can SLOW it, decreasing the risk of overwhelming our hospitals.

▶️WASH your hands
▶️DON’T touch your face
▶️AVOID large gatherings

#flatteningthecurve #FlattenTheCurve #COVID19 #CoronavirusPandemic #CoronavirusOutbreak https://t.co/ane6FuHTYa",,https://www.twitter.com/user/status/1237715665840201728,1262,2090,714.1
CJ 🌊,11.03.20 12:21,"Candace Owens: It’s no big deal if 80-year-olds die from coronavirus since life expectancy is 76 – 

WTF! Candace can go to hell with her nastiness! 
 https://t.co/n6R2QsYhiz",,https://www.twitter.com/user/status/1237715312482582536,1306,2782,68.56
Mar 🇪🇸🇪🇸,11.03.20 12:20,"Esto ya se pasa de castaño oscuro 👇
La Guardia Civil recibe mascarillas caducadas desde 2017 para hacer frente al coronavirus
Menudo despropósito de Gobierno
https://t.co/F7PG9ikx6w",,https://www.twitter.com/user/status/1237715105409884165,1043,951,29.47
TALLY,11.03.20 12:20,Coronavirus conference cancelled due to coronavirus looooooooool https://t.co/4kXF5KNZLn,,https://www.twitter.com/user/status/1237714956465901569,11561,58824,606.43
Department of Health,11.03.20 12:18,"Knowing the symptoms of #COVID19 will help you get the treatment if you need it. Learn how to tell the difference between #Coronavirus #Flu and the #CommonCold.

Spread the message not the virus.

@HSELive | @CMOIreland | @hpscireland https://t.co/mDuK7Gdm13",,https://www.twitter.com/user/status/1237714429099245568,1213,1263,145.12
Carli.,11.03.20 12:17,"5 infectados por coronavirus, vacían los supermercados y compran tapabocas por 370.000 gs. 46 muertos por dengue y no son capaces de limpiar su patio, así no se puede",,https://www.twitter.com/user/status/1237714260270202880,1951,2930,1.43
Dr. David A. Lustig,11.03.20 12:15,"Although Dr. Fauci &amp; the Coronavirus Task Force identified FL as a place where ‘community spread’ is occurring, Gov. Ron DeSantis directly contradicted &amp; denied the conclusion.

Apparently, DeSantis believes he knows almost as much about science as Trump.
https://t.co/klYoCuAS00",,https://www.twitter.com/user/status/1237713841166987271,1443,1873,70.45
VOX 🇪🇸,11.03.20 12:15,"❌ Han mentido sobre la gravedad del Coronavirus. 
❌ No han tomado medidas de contención en nuestras fronteras. 
❌ Ya hay 47 muertos en España y más de 2.000 infectados. 

Y encima se ríen a carcajadas. Nos gobiernan psicópatas. https://t.co/aIJLBM8IyX",,https://www.twitter.com/user/status/1237713824154816512,5540,9866,1046.27
Camilo Egaña,11.03.20 12:14,"“No hay Coronavirus en Corea del Norte, Cuba, Nicaragua y Venezuela. Será que los milagros existen?” Lucas https://t.co/PLQCupTKGy",,https://www.twitter.com/user/status/1237713619615391744,2606,6310,440.88
"Scott Gottlieb, MD",11.03.20 12:11,From @FaceTheNation on #COVID19. The next few months will be hard. We'll get through this. Ultimately we'll have a treatment or vaccine to vanquish #coronavirus. But we must implement tough mitigation steps in areas of outbreak to prevent a wider epidemic. https://t.co/BLHoGRew0v https://t.co/EqO4HaohQ6,,https://www.twitter.com/user/status/1237712733908467713,3071,9825,614.7
Harry & Louis News,11.03.20 12:07,Just wanted to say FUCK YOU CORONAVIRUS!!! This was supposed to be Louis’ year!,,https://www.twitter.com/user/status/1237711814542217218,1407,6434,146.76
Greta Thunberg,11.03.20 12:05,"We can’t solve a crisis without treating it as a crisis and we must unite behind experts and science.
This of course goes for all crises.

Now the experts urge us to avoid big public gatherings for a better chance to #flattenthecurve and slow the spreading of the Coronavirus. 1/4 https://t.co/24o3a7J9ed",,https://www.twitter.com/user/status/1237711121445982212,8795,38325,8737.19
infobae,11.03.20 12:00,"En medio de la propagación del coronavirus, fanáticos de Los Pitufos realizaron una concentración masiva en Francia https://t.co/iBY2P8Yw3j https://t.co/y7ItbYR0vG",,https://www.twitter.com/user/status/1237709859379961857,4462,12961,6568.27
Beşiktaş JK English,11.03.20 11:58,Hygiene matters in football. #VAR #Covid19 #Coronavirus https://t.co/RFwBsw48PC,,https://www.twitter.com/user/status/1237709569390006273,2478,11525,547.73
📊📈 Superavit Fiscal ™ 📈📊,11.03.20 11:58,Y así fue como el Coronavirus salvó al sistema previsional italiano... https://t.co/DcLrc0NZ50,,https://www.twitter.com/user/status/1237709418910765056,1221,8197,9.91
Ben Adams,11.03.20 11:55,"“If they cancel March madness, I will get coronavirus the next day because I do not want to be healthy in a world where march madness does not exist” -@BarstoolBigCat 😂",,https://www.twitter.com/user/status/1237708652460507142,1168,9266,1.05
Christian Lamar,11.03.20 11:53,"Coronavirus has the entire world in FAKE HYSTERIA, closing schools, cancelling events &amp; buying up groceries leaving shelves empty.
It is UNBELIEVABLE!
Why are countries closing schools when the FLU is more deadly to children &amp; young adults but have open borders? MAKES NO SENSE!",,https://www.twitter.com/user/status/1237708222489710594,1396,2626,111.2
Dussè B,11.03.20 11:48,Not even the coronavirus wanna come to Alabama https://t.co/WaqZ9YYZIg,,https://www.twitter.com/user/status/1237706850986012673,14805,80356,8.93
Nadine Dorries 🇬🇧,11.03.20 11:48,"If you want to know how low a journalist can go, @DailyMailUK on my doorstep in the middle of my trying to deal with everything else. He opened the gate,  knocked on the door, rang the bell. I hope he washes his hands. #Coronavirus",,https://www.twitter.com/user/status/1237706850788945921,2941,19542,208.74
Dr. Dena Grayson,11.03.20 11:43,"👏🏼AWESOME👏🏼

#Minnesota now offers curbside #coronavirus testing! Call ahead, drive up, and your samples will be taken in just a few minutes with results provided the next day.

EVERY state should offer this.

#COVID19 #CoronavirusPandemic
h/t @kris_lovaas
https://t.co/nbpTpwvSTm",,https://www.twitter.com/user/status/1237705664656539648,9581,23645,654.59
Javier Negre,11.03.20 11:40,"Fernando Simón, el portavoz del Gobierno en materia de coronavirus y que dijo que en España no habría más de un contagio, se parte de risa cuando en España gran parte de la población está aterrorizada por la rápida propagación del virus y la inacción del Gobierno. Qué frivolidad https://t.co/UubdLVgTvi",,https://www.twitter.com/user/status/1237704890039914496,1461,2720,151.27
Caso Aislado,11.03.20 11:39,"Fernando Simón, director del Centro de Coordinación de Alertas y Emergencias Sanitarias, se ríe durante la rueda de prensa en la que anuncia que ya hay 47 muertos con coronavirus en España y más de 2.000 infectados. ¿Dónde está la gracia?

Inaceptable esa risa. #CODVID19 https://t.co/GeRJ2EvVmZ",,https://www.twitter.com/user/status/1237704813602910209,2505,3338,96.04
· Hibai Arbide Aza ·,11.03.20 11:39,Tenemos a la sanidad privada derivando casos de coronavirus a la pública y a los neoliberales reconociendo que lo que hace falta es más inversión pública e intervención estatal. Igual ha llegado el momento de debatir cuándo empezamos con las expropiaciones y nacionalizaciones.,,https://www.twitter.com/user/status/1237704717234581505,3906,9672,207.8
geneva,11.03.20 11:39,CORONAVIRUS WILL END!!!!! IN JESUS NAME!!!!!  🙏❤️,,https://www.twitter.com/user/status/1237704692542525441,19477,40569,2.55
KSI,11.03.20 11:38,Coronavirus about to make 2020 suck lmao,,https://www.twitter.com/user/status/1237704515773751296,4937,87017,9483.94
New York Post,11.03.20 11:37,Coronavirus conference canceled in New York because of coronavirus https://t.co/qorEtBkUmm https://t.co/ONwla2DbbB,,https://www.twitter.com/user/status/1237704079792635904,1715,4279,4250.15
Oswaldo Eustáquio,11.03.20 11:35,O CoronaVírus fez despencar o valor das commodities. A China compra todo o estoque que pode a um preço 30% mais barato. Na época do H1N1 foi assim também. As pandemias oriundas da China coincidem sempre com a queda dos estoques de alimento do gigante oriental.,,https://www.twitter.com/user/status/1237703760392183808,1206,3377,100.87
Titania McGrath,11.03.20 11:34,"Denying the coronavirus its right to a national identity post-migration is racist. 

Disappointed in you, Ilhan. 😥 https://t.co/4LoMv8qRen",,https://www.twitter.com/user/status/1237703523523014656,1249,8702,953.33
Ricardo Chamorro Delmo,11.03.20 11:34,"La concejal del PSC en cuarentena por Coronavirus, estuvo en la manifestación feminista del 8M https://t.co/FoLMfSwr0F",,https://www.twitter.com/user/status/1237703415641374725,1159,1404,22.19
EL MUNDO,11.03.20 11:33,"Merkel advierte de que hasta el 70% de los alemanes se infectará por el coronavirus: ""El virus está aquí. No hay vacuna ni tratamiento"". https://t.co/e9EuAh5zoQ",,https://www.twitter.com/user/status/1237703107133550593,1052,1035,7187.75
